with regard to,~に関して
Nevertheless,しかしながら
to have 人 動詞の原型,誰かに〜してもらう
as,しかしながら
tempation,誘惑
imported,輸入された
revived,復活した
abandoned,放棄された
time to time,時々
in good hands,安泰で
all concerned,関係者全員
depending on ~,~に応じて
can be found,~があります
make good use of ~,~を有効に活用する
be eligible for ~,~の資格がある
on top of ~,~に加えて
up to ~,最大で
be sure to do,必ず〜するように（相手に注意や指示）
in the subject line of your email,メールの件名欄(subject)に
indefinite,無期限の
take the liberty of doing,勝手に〜する
in consideration of ~,~を考慮して
I'm afraid that ...,残念ながら...だと思います
commit,~と約束する・委託する・拘束する
ever since,〜以来ずっと
far cry from ~,~とは全く異なるもの
fellow students,同級生
appreciation of ~,~の理解・鑑賞・感謝
quit,やめる
rekindale,再燃させる・よみがえらせる
laid back,くつろいだ・のんびりした
revamp,~を改良する
fate,運命
hardly,ほとんど〜ない
a real treat,本当に楽しいこと・本当に素晴らしいこと
marvel,驚異・驚くべきもの
have going for ~,~の強みがある
acoustic feature,音響機能
on paper,理論上は
take over from ~,~から引き継ぐ
bring on by ~,~によって引き起こされる・（悪い結果）を引き起こす
in charge of ~,~を担当して
qualify for ~,~の資格を得る
segment,部分・一コマ
typically,通常は
turn down,断る
archived,保存された・記録された
intact,無傷のまま
investigate,調査する
slip one's mind,忘れる
firm,企業
get in touch with,〜と連絡を取る
so that ~,~できるように・〜するために
all the way,はるばる
nature,性質
shortcoming,不足
required,必須の
qualification,要件
duration,期間
in-house,社内の
of the essence,非常に重要な
among,〜の中で・〜の間で
endorsement,支持・承認・推薦
clientele,顧客
syndicated,提携した・共同販売された
giveaway,無料配布品・景品
as well as,同様に
capable,有能な・能力がある
celebrity,有名人
stall,屋台・売店
open-air,屋外の
vie for ~,~を求めて争う
dipiction,描写
spanning,及ぶ・~にわたる
ornate,華麗な・飾り立てた
premis,敷地・建物
grandness,壮大さ
deserve,値する
regard,みなす・考える・評価する
each with ~,それぞれが~を持つ
private sector,民間部門
suited,適した
valued,価値のある・重視される
assess,評価する
acknowledge,認める・感謝する
sought after,人気のある・引っ張りだこの
demonstrably,明白に・明確に
fledging businesses,新興企業(fledging=羽ばたき始める)
be advised that ...,...とご承知おきください
on short notice,急な依頼で・突然
track record,実績
vouch for ~,~を保証する・~の責任を負う
sort out,解決する・整理する
explore,探索する
instituted,設立された・制定された
fruits,成果・実り
profitability,収益性
underpermorming,業績不振の
imitate,模倣する
be obliged to do,〜せざるを得ない・〜する義務がある
retroactivelt,遡及的に・さかのぼって
deduct,差し引く・控除する
discrepancies,不一致・相違
live up to ~,~に応える・~に見合う
worth while,価値のある
causes,原因・理由・活動・運動
council tax,地方税
curator,学芸員・キュレーター・館長
derive A from B,BからAを得る
offset,埋め合わせる・相殺する
end up ~,結局〜になる
naturally,当然・もちろん
despite,〜にもかかわらず
confectionery,菓子類
discouraging,やる気をそぐ・思いとどまらせる・がっかりさせるような
in short,要するに
put someone on notice,~に通告する
prized,貴重な・高く評価された
possession,所有物・所持品
make it to ~,~に到着する・~に間に合う
a while,しばらくの間
enterprise,企業・事業
textile,織物・布地
nominate,推薦する
comtemporary,同時代の・
struggle to do,~することに苦戦する
consolidated subsidiary,連結子会社
support doing,〜を支持する
disclose,公開する
viability,生存能力
assume,引き受ける
land,獲得する
outsource,外部委託する
prompt A to do,Aに〜するように促す
authority,当局
rodust demand,旺盛な需要
undergo,（変化などを）経る・遂げる
intend,意図する(be intended to do:〜することを目的としている）
mitigate,〜を緩和する
talent for doing,~する才能
herbicide,除草剤
those doing,〜する人々
contestant,出場者
be obliged to do,〜することが義務付けられている
exterior,外部
suggest doing,〜することを提案する
urge A to do,Aに〜するよう強く促す
refrain from doing,〜することを控える
run behind schedule,予定より遅れて操業する
suspend,一時停止する
elect to do,〜することを選ぶ
consent to do,〜することに同意する
observe,立ち会う
scrap,~を廃止する
delegate,代表者
tree removal,森林伐採
go on doing,〜し続ける
calibrate,点検する
much to the relief of ~,〜がとても安心したことには
undertake,〜に取り掛かる
all but one of the members,メンバーのうち1人を除いて（複数形扱い）
concentrated,濃縮された
detergent,洗剤
a wide assortment of ~,幅広い品揃えの
assortment,品揃え
put A into practice,Aを実践する
wrap up,(会議や仕事が）終わる
workshop,作業場、講座
interfere with,~を妨げる
turn down,(音量を)下げる
push back,延期する
consensus,同意
odvious,明らか
for sake of,~のために
formality,形式上
clinical reserch,臨床実験
precide,議長をする（preside over:司会を務める)
present,提示する(present A with B:AにBを提示）
depreciate in value,価格が下がる(対義：appreciate）
be supposed to do,~する予定
compressed,圧縮された
consensus,総意の
varnish,ニス
apply A over B,AにBを塗る
acquaintance,知人
come along,現れる・進展する
admit,認める
enrollment,登録・入会
none of them,彼らのうち誰も〜ない
incident,出来事・事件
current affairs,時事問題
run,経営する・運営する・載せる
force A to do,Aに〜することを強いる
belief,信念
delicacy,珍味
indeed,実に・確かに
foster,育成する・促進する
talent,才能・人材
science fiction,科学小説・SF
condition,状態・体調・条件
appear to be,〜のように見える
second to none,誰にも劣らない・最高の
intensity,強度・激しさ
dimly,ぼんやりと・かすかに
portable,携帯用の
EXT.623,内線623番
to whom it may concern,関係者各位
walk away from 出来事 結果,出来事の後〜の結果で終わる(ex)walk away from negotiation happy
auspicious,縁起の良い
impromptu,即席の・即興の
benefits package,福利厚生制度
renewal notice,更新のお知らせ
time,単:時間　複：時代・景気
circulation figure,発行部数
commitment,単：献身　複：約束・契約
fundraise,資金を集める
accounting procedure,会計手続き
corresponding,対応する・相当する
enter into ~,~を始める・（契約などを）結ぶ
strategic,戦略的な
timely,タイムリーな・時宜を得た(形容詞）
dense,難解な
intericate,複雑な
comprehension,理解
on regular basis,定期的に
compose,作曲する
impression,考え・気持ち
person in charge,担当者
benefit,利益・恩恵(形:beneficial 有益な 名:beneficiary 受取人　名:beneficence 慈善行為)
authorization from ~,~からの許可・承諾書
customize,特注する
custom,名:習慣　形:注文の.あつらえの
at one's disposal,~の自由に使える状態で
ramp up,増加させる・強化する
shapely,形の良い・均整の取れた
concentrate,集中する・濃縮する
conzentration,集中・濃度
production plant,生産工場
disinfect,消毒する
advantageous to ~,~に有利な
broadcast,放送(過去形も過去分詞形もbroadcast)
comparable to ~,~に匹敵する・~と同等の
comparative,比較の・比較的な
industrious,勤勉な
industrial,産業の
industrial production,工業生産高
commuter train,通勤電車
undertake,引き受ける・着手する
be considered,〜と考えられる
orderly,整然とした・秩序ある
potentially,潜在的に
captivate,魅了する(形:captivating 魅力的な うっとりさせる　名captvator 魅了する人)
insight,洞察・見識
opponent,対戦相手・反対者
oppposition,反対・対立
oppose,反対する
detailing,詳細説明・細部の装飾
ditailedness,詳細さ
subdivision,区分・分割・分譲地
tidy,きちんとした・整然とした
neighboring,隣接する・近隣の（形容詞）
neighbor,名：隣人　動：~の近くに住む
neighborly,隣人のような・親切な
comfirm,確認する
dealt,deal(扱う）の過去形・過去分詞形
deals,取引・商談
interest,名：興味・関心　動：利息を生む・〜に興味を持たせる
depend on ~,~に頼っている(be dependance on ~:ほぼ同じだがこっちの方が硬め）
mitigate,和らげる・軽減する
qualified,資格のある
in accordance with ~,~に従って
grant,与える・認める
transportation hub,交通の要所・輸送の拠点
testimonial,推薦文・videoのお客様の声
prototype,試作品 動詞：試作品を作る
enclosed please find ~,同封されている　添付されている
generation,世代・創出
profit genetarion,利益創出
facilitative of ~,~を容易にする 促進する
underscore,強調する
substandard,基準以下の 低水準の
in comparison to ~,~と比較すると
upholster,布ばりをする（upholstery:布張り・室内装飾用の布）
experiential,経験に基づく・体験的な
manner,方法・態度(manners:風習　行儀）
convention,慣習・大会
budget constraint,予算の制約
municipality,地方自治体
soar,急上昇する
premise,前提(premises:敷地・建物)
in an effort to do,〜しようと努力して
enrollment quota,入学定員
with each passing day,日ごとに 日を追うごとに
masterly,見事な・熟練した
finance,財務(finances:財源）
sustain,維持する 被害を受ける
interest rate,金利
minimum,最低限の（決まった範囲での最小）
minimal,最小限の（できる限りの最小）
boom,景気の良い状態・急増
booming,景気が良い・急増している
prescribable,処方できる
prescriptive,規範的な・指示的な
remarkable for,~で目立った
encouraging,好意的な　励みになる
custom,慣習・習慣(customs:関税)
help A do, Aが〜するのを助ける
without doing ,〜することなしに
sanitize,消毒する
put off doing,〜するのを延期する
outsource,外部委託する
hot seller,よく売れる商品
strive to do,〜しようと努力する
anyone doing,〜する人
invite A to do,Aに〜するよう勧める
reliance on ~,~への依存
make it a rule to do,〜することを習慣にしている
editorial,社説・編集の
against,前置詞:〜に反対して
those who do,〜する人々
spend 時間 doing,〜するのに時間を費やす
resurface,再舗装する
attribute A to B,AをBのせいにする・AはBに起因すると考える(A is attributed to B)
in response to ~,~に応えて
hasten to do,急いで〜する
take extra care doing,〜する際に特に注意を払う
